Amostra;Site;Espécies;Sepal length (cm);Sepal width (cm);Petal length (cm);Petal width (cm);Latitude;Longitude;Data
A15;Site1;Iris setosa;5.8;4;1.2;;48.935.966;-64.840.984;01/12/1929
A17;Site2;Iris setosa;5.4;3.9;1.3;0.4;48.540.502;-64.766.512;13/02/1930
A11;Site2;Iris setosa;5.4;3.7;1.5;0.2;48.540.502;-64.766.512;13/02/1930
A28;Site3;Iris setosa;5.2;3.5;1.5;0.2;48.329.837;-65.512.333;01/12/1929
A34;Site3;Iris setosa;5.5;4.2;1.4;0.2;48.329.837;-65.512.333;01/12/1929
A40;Site3;Iris setosa;5.1;3.4;1.5;0.2;48.329.837;-65.512.333;01/12/1929
A75;Site1;Iris versicolor;6.4;2.9;4.3;1.3;48.935.966;-64.840.984;01/12/1929
A62;Site2;Iris versicolor;5.9;3;4.2;1.5;48.540.502;-64.766.512;13/02/1930
A52;Site3;Iris versicolor;6.4;3.2;4.5;1.5;48.329.837;-65.512.333;01/12/1929
A73;Site3;Iris versicolor;6.3;2.5;4.9;1.5;48.329.837;-65.512.333;01/12/1929
A88;Site3;Iris versicolor;6.3;2.3;4.4;1.3;48.329.837;-65.512.333;01/12/1929
A150;Site1;Iris virginica;5.9;3;5.1;1.8;48.935.966;-64.840.984;01/12/1929
A128;Site2;Iris virginica;6.1;3;4.9;1.8;48.540.502;-64.766.512;13/02/1930
A112;Site3;Iris virginica;6.4;2.7;5.3;1.9;48.329.837;-65.512.333;01/12/1929
A127;Site3;Iris virginica;6.2;2.8;4.8;1.8;48.329.837;-65.512.333;01/12/1929
