N° Imagem;Amostra;Site;Latitude;Longitude;Data;Espécies ;Sepal length (cm) ;Sepal width (cm) ;Petal length (cm) ;Petal width (cm)
A131;A140;Site2;48,540502;-64,766512;13/02/1930;Iris_virginica;6,9;3,1;5,4;2,1
A124;A119;Site2;48,540502;-64,766512;13/02/1930;Iris_virginica;7,7;2,6;6,9;2,3
A99;A97;Site3;48,329837;-65,512333;01/12/1929;Iris_versicolor;5,7;2,9;4,2;1,3
A93;A79;Site3;48,329837;-65,512333;01/12/1929;Iris_versicolor;6;2,9;4,5;1,5
A12;A3;Site1;48,935966;-64,840984;01/12/1929;Iris_setosa;4,7;3,2;1,3;0,2
A67;A99;Site1;48,935966;-64,840984;01/12/1929;Iris_versicolor;5,1;2,5;3;1,1
A33;A14;Site2;48,540502;-64,766512;13/02/1930;Iris_setosa;4,3;3;1,1;0,1
A73;A68;Site2;48,540502;-64,766512;13/02/1930;Iris_versicolor;5,8;2,7;4,1;1
A38;A31;Site3;48,329837;-65,512333;01/12/1929;Iris_setosa;4,8;3,1;1,6;0,2
A13;A6;Site1;48,935966;-64,840984;01/12/1929;Iris_setosa;5,4;3,9;1,7;0,4
A50;A16;Site3;48,329837;-65,512333;01/12/1929;Iris_setosa;5,7;4,4;1,5;0,4
A28;A50;Site2;48,540502;-64,766512;13/02/1930;Iris_setosa;5;3,3;1,4;0,2
A90;A70;Site3;48,329837;-65,512333;01/12/1929;Iris_versicolor;5,6;2,5;3,9;1,1
A51;A51;Site1;48,935966;-64,840984;01/12/1929;Iris_versicolor;7;3,2;4,7;1,4
A11;A48;Site1;48,935966;-64,840984;01/12/1929;Iris_setosa;4,6;3,2;1,4;0,2
