imagem;amostra;spp;site;latitude;longitude;data;sepal_length_cm;sepal_width_cm;petal_length_cm;petal_width_cm
A133;A146;Iris_virginica;Site2;48.540502;-64.766512;1930-02-13;6.7;3;5.2;2.3
A126;A125;Iris_virginica;Site2;48.540502;-64.766512;1930-02-13;6.7;3.3;5.7;2.1
A46;A4;Iris_setosa;Site3;48.329837;-65.512333;1929-12-01;4.6;3.1;1.5;0.2
A85;A55;Iris_versicolor;Site3;48.329837;-65.512333;1929-12-01;6.5;2.8;4.6;1.5
A54;A60;Iris_versicolor;Site1;48.935966;-64.840984;1929-12-01;5.2;2.7;3.9;1.4
A68;A53;Iris_versicolor;Site2;48.540502;-64.766512;1930-02-13;6.9;3.1;4.9;1.5
A72;A65;Iris_versicolor;Site2;48.540502;-64.766512;1930-02-13;5.6;2.9;3.6;1.3
A30;A5;Iris_setosa;Site2;48.540502;-64.766512;1930-02-13;5;3.6;1.4;0.2
A40;A37;Iris_setosa;Site3;48.329837;-65.512333;1929-12-01;5.5;3.5;1.3;0.2
A34;A19;Iris_setosa;Site3;48.329837;-65.512333;1929-12-01;5.7;3.8;1.7;0.3
A88;A64;Iris_versicolor;Site3;48.329837;-65.512333;1929-12-01;6.1;2.9;4.7;1.4
A29;A2;Iris_setosa;Site2;48.540502;-64.766512;1930-02-13;4.9;3;1.4;0.2
A100;A100;Iris_versicolor;Site3;48.329837;-65.512333;1929-12-01;5.7;2.8;4.1;1.3
A61;A81;Iris_versicolor;Site1;48.935966;-64.840984;1929-12-01;5.5;2.4;3.8;1.1
A103;A108;Iris_virginica;Site1;48.935966;-64.840984;1929-12-01;7.3;2.9;6.3;1.8
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
