Espécie;Imagem;Amostra;Site;Latitude;Longitude;Data;Sepal lenght (cm);Sepal width (cm);Petal length (cm);Petal width (cm)
Iris setosa;A44;A49;Site3;48,329,837;-65,512,333;01/12/1929;5.3;3.7;1.5;0.2
Iris versicolor;A64;A90;Site1;48,935,966;-64,840,984;01/12/1929;5.5;2.5;4;1.3
Iris virginica;A122;A113;Site2;48,540,502;-64,766,512;13/02/1930;6.8;3;5.5;2.1
Iris versicolor;A82;A95;Site2;48,540,502;-64,766,512;13/02/1930;5.6;2.7;4.2;1.3
Iris virginica;A104;A111;Site1;48,935,966;-64,840,984;01/12/1929;6.5;3.2;5.1;2
Iris setosa;A14;A9;Site1;48,935,966;-64,840,984;01/12/1929;4.4;2.9;1.4;0.2
Iris virginica;A125;A122;Site2;48,540,502;-64,766,512;13/02/1930;5.6;2.8;4.9;2
Iris virginica;A105;A114;Site1;48,935,966;-64,840,984;01/12/1929;5.7;2.5;5;2
Iris versicolor;A76;A77;Site2;48,540,502;-64,766,512;13/02/1930;6.8;2.8;4.8;1.4
Iris virginica;A102;A105;Site1;48,935,966;-64,840,984;01/12/1929;6.5;3;5.8;2.2
Iris setosa;A48;A10;Site3;48,329,837;-65,512,333;01/12/1929;4.9;3.1;1.5;0.1
Iris virginica;A121;A110;Site2;48,540,502;-64,766,512;13/02/1930;7.2;3.6;6.1;2.5
Iris setosa;A36;A25;Site3;48,329,837;-65,512,333;01/12/1929;4.8;3.4;1.9;0.2
Iris setosa;A24;A38;Site2;48,540,502;-64,766,512;13/02/1930;4.9;3.6;1.4;0.1
Iris versicolor;A74;A71;Site2;48,540,502;-64,766,512;13/02/1930;5.9;3.2;4.8;1.8
