Arquivo;Amostra;Local;latitude;longitude;data;sp;sepal_length;sepal_width;petal_lenght;pental_width
A10;A45;Site1;48.935.966;-64.840.984;01/12/1929;Iris setosa;5.1;3.8;1.9;0.4
A21;A29;Site2;48.540.502;-64.766.512;13/02/1930;Iris setosa;5.2;3.4;1.4;0.2
A25;A41;Site2;48.540.502;-64.766.512;13/02/1930;Iris setosa;5;3.5;1.3;0.3
A26;A44;Site2;48.540.502;-64.766.512;13/02/1930;Iris setosa;5;3.5;1.6;0.6
A69;A56;Site2;48.540.502;-64.766.512;13/02/1930;Iris versicolor;5.7;2.8;4.5;1.3
A79;A86;Site2;48.540.502;-64.766.512;13/02/1930;Iris versicolor;6;3.4;4.5;1.6
A94;A82;Site3;48.329.837;-65.512.333;01/12/1929;Iris versicolor;5.5;2.4;3.7;1
A95;A85;Site3;48.329.837;-65.512.333;01/12/1929;Iris versicolor;5.4;3;4.5;1.5
A113;A138;Site1;48.935.966;-64.840.984;01/12/1929;Iris virginica;6.4;3.1;5.5;1.8
A114;A141;Site1;48.935.966;-64.840.984;01/12/1929;Iris virginica;6.7;3.1;5.6;2.4
A115;A144;Site1;48.935.966;-64.840.984;01/12/1929;Iris virginica;6.8;3.2;5.9;2.3
A116;A147;Site1;48.935.966;-64.840.984;01/12/1929;Iris virginica;6.3;2.5;5;1.9
A129;A134;Site2;48.540.502;-64.766.512;13/02/1930;Iris virginica;6.3;2.8;5.1;1.5
A147;A139;Site3;48.329.837;-65.512.333;01/12/1929;Iris virginica;6;3;4.8;1.8
