file_number;amostra;site;latitude;longitude;data;especies;sepal_length_cm;sepal width_cm;petal_lenght_cm;pental_width_cm
A8;A39;Site1;48.935966;-64.840984;1929-12-01;Iris setosa;4.4;3;1.3;0.2
A27;A47;Site2;48.540502;-64.766512;1930-02-13;Iris setosa;5.1;3.8;1.6;0.2
A45;A1;Site3;48.329837;-65.512333;1929-12-01;Iris setosa;5.1;3.5;1.4;0.2
A47;A7;Site3;48.329837;-65.512333;1929-12-01;Iris setosa;4.6;3.4;1.4;0.3
A65;A93;Site1;48.935966;-64.840984;1929-12-01;Iris versicolor;5.8;2.6;4;1.2
A75;A74;Site2;48.540502;-64.766512;1930-02-13;Iris versicolor;6.1;2.8;4.7;1.2
A78;A83;Site2;48.540502;-64.766512;1930-02-13;Iris versicolor;5.8;2.7;3.9;1.2
A80;A89;Site2;48.540502;-64.766512;1930-02-13;Iris versicolor;5.6;3;4.1;1.3
A86;A58;Site3;48.329837;-65.512333;1929-12-01;Iris versicolor;4.9;2.4;3.3;1
A97;A91;Site3;48.329837;-65.512333;1929-12-01;Iris versicolor;5.5;2.6;4.4;1.2
A101;A102;Site1;48.935966;-64.840984;1929-12-01;Iris virginica;5.8;2.7;5.1;1.9
A107;A120;Site1;48.935966;-64.840984;1929-12-01;Iris virginica;6;2.2;5;1.5
A120;A107;Site2;48.540502;-64.766512;1930-02-13;Iris virginica;4.9;2.5;4.5;1.7
A137;A109;Site3;48.329837;-65.512333;1929-12-01;Iris virginica;6.7;2.5;5.8;1.8
A145;A133;Site3;48.329837;-65.512333;1929-12-01;Iris virginica;6.4;2.8;5.6;2.2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
