n_pdf;amostra;spp;site;lat;long;data;sepal_length_cm;sepal_width_cm;petal_length_cm;petal_width_cm
A5;A30;Iris_setosa;Site1;48.935966;-64.840984;01/12/1929;4.7;3.2;1.6;0.2
A15;A12;Iris_setosa;Site1;48.935966;-64.840984;01/12/1929;4.8;3.4;1.6;0.2
A58;A72;Iris_versicolor;Site1;48.935966;-64.840984;01/12/1929;6.1;2.8;4;1.3
A66;A96;Iris_versicolor;Site1;48.935966;-64.840984;01/12/1929;5.7;3;4.2;1.2
A87;A61;Iris_versicolor;Site3;48.329837;-65.512333;01/12/1929;5;2;3.5;1
A92;A76;Iris_versicolor;Site3;48.329837;-65.512333;01/12/1929;6.6;3;4.4;1.4
A106;A117;Iris_virginica;Site1;48.935966;-64.840984;01/12/1929;6.5;3;5.5;1.8
A108;A123;Iris_virginica;Site1;48.935966;-64.840984;01/12/1929;7.7;2.8;6.7;2
A109;A126;Iris_virginica;Site1;48.935966;-64.840984;01/12/1929;7.2;3.2;6;1.8
A123;A116;Iris_virginica;Site2;48.540502;-64.766512;13/02/1930;6.4;3.2;5.3;2.3
A130;A137;Iris_virginica;Site2;48.540502;-64.766512;13/02/1930;6.3;3.4;5.6;2.4
A139;A115;Iris_virginica;Site3;48.329837;-65.512333;01/12/1929;5.8;2.8;5.1;2.4
A141;A121;Iris_virginica;Site3;48.329837;-65.512333;01/12/1929;6.9;3.2;5.7;2.3
A144;A130;Iris_virginica;Site3;48.329837;-65.512333;01/12/1929;7.2;3;5.8;1.6
A150;A148;Iris_virginica;Site3;48.329837;-65.512333;01/12/1929;6.5;3;5.2;2
